"Date","Price","Open","High","Low","Change %"
"19-09-2025","5.599","5.557","5.607","5.557","0.83%"
"18-09-2025","5.553","5.617","5.733","5.553","-0.41%"
"17-09-2025","5.576","5.608","5.620","5.576","0.45%"
"16-09-2025","5.551","5.657","5.677","5.551","-1.44%"
"15-09-2025","5.632","5.655","5.656","5.632","-0.83%"
"12-09-2025","5.679","5.623","5.703","5.623","1.83%"
"11-09-2025","5.577","5.641","5.754","5.577","-1.74%"
"10-09-2025","5.676","5.623","5.685","5.623","1.68%"
"09-09-2025","5.582","5.656","5.656","5.582","-1.08%"
"08-09-2025","5.643","5.650","5.657","5.643","-0.25%"
"05-09-2025","5.657","5.650","5.657","5.643","0.14%"
"04-09-2025","5.649","5.730","15.222","5.630","-1.22%"
"03-09-2025","5.719","5.638","5.733","5.638","1.51%"
"02-09-2025","5.634","5.668","5.668","5.612","-1.05%"
"01-09-2025","5.694","5.648","5.694","5.648","0.49%"
"29-08-2025","5.666","5.598","5.666","5.558","0.46%"
"28-08-2025","5.640","5.577","5.640","5.577","1.13%"
"27-08-2025","5.577","5.577","5.577","5.577","-0.29%"
"26-08-2025","5.593","5.587","5.593","5.577","-0.32%"
"25-08-2025","5.611","5.607","5.611","5.587","-0.43%"
"22-08-2025","5.635","5.576","5.635","5.576","1.24%"
"21-08-2025","5.566","5.697","5.697","5.533","-1.10%"
"20-08-2025","5.628","5.520","5.628","5.473","0.86%"
"19-08-2025","5.580","5.545","5.580","5.505","-0.25%"
"18-08-2025","5.594","5.530","5.594","5.499","1.16%"
"15-08-2025","5.530","5.530","5.530","5.530","0.56%"
"14-08-2025","5.499","5.579","5.691","5.474","-1.54%"
"13-08-2025","5.585","5.519","5.585","5.499","0.83%"
"12-08-2025","5.539","5.556","5.615","5.519","0.11%"
"11-08-2025","5.533","5.549","5.556","5.430","-2.40%"
"08-08-2025","5.669","5.500","5.669","5.467","1.36%"
"07-08-2025","5.593","5.572","5.593","5.501","0.05%"
"06-08-2025","5.590","5.510","5.590","5.510","1.12%"
"05-08-2025","5.528","5.466","5.549","5.439","0.44%"
"04-08-2025","5.504","5.569","5.607","5.467","-0.63%"
"01-08-2025","5.539","5.548","5.570","5.539","-0.63%"
"31-07-2025","5.574","5.656","5.656","5.539","-0.11%"
"30-07-2025","5.580","5.504","5.580","5.504","1.47%"
"29-07-2025","5.499","5.570","5.570","5.499","-1.11%"
"28-07-2025","5.561","5.535","5.570","5.535","-0.89%"
"25-07-2025","5.611","5.541","5.611","5.536","0.34%"
"24-07-2025","5.592","5.559","5.592","5.542","-0.66%"
"23-07-2025","5.629","5.534","5.629","5.534","0.57%"
"22-07-2025","5.597","5.546","5.597","5.536","-0.23%"
"21-07-2025","5.610","5.550","5.610","5.536","1.52%"
"18-07-2025","5.526","5.559","5.599","5.526","0.05%"
"17-07-2025","5.523","5.567","5.567","5.523","-0.81%"
"16-07-2025","5.568","5.546","5.568","5.532","-0.25%"
"15-07-2025","5.582","5.550","5.583","5.526","1.82%"
"14-07-2025","5.482","5.560","5.561","5.431","0.68%"
"11-07-2025","5.445","5.544","5.701","5.445","-1.20%"
"10-07-2025","5.511","5.545","5.565","5.511","-1.34%"
"09-07-2025","5.586","5.606","5.606","5.540","1.36%"
"08-07-2025","5.511","5.521","5.533","5.511","-0.34%"
"07-07-2025","5.530","5.533","5.538","5.494","1.10%"
"04-07-2025","5.470","5.532","5.564","5.489","-0.36%"
"03-07-2025","5.490","5.656","5.656","5.513","-0.36%"
"02-07-2025","5.510","5.515","5.542","5.501","0.18%"
"01-07-2025","5.500","5.565","5.577","5.515","-0.72%"
"30-06-2025","5.540","5.517","5.565","5.502","0.73%"
"27-06-2025","5.500","5.568","5.604","5.521","-0.90%"
"26-06-2025","5.550","5.557","5.576","5.557","0.18%"
"25-06-2025","5.540","5.555","5.563","5.436","1.65%"
"24-06-2025","5.450","5.473","5.486","5.419","0.55%"
"23-06-2025","5.420","5.468","5.509","5.440","0.18%"
"20-06-2025","5.410","5.465","5.489","5.429","-0.37%"
"19-06-2025","5.430","5.473","5.585","5.435","-0.73%"
"18-06-2025","5.470","5.515","5.516","5.473","-0.73%"
"17-06-2025","5.510","5.488","5.533","5.431","0.18%"
